ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1781506333722,2099029,5.3864813,-1.6885146,9.098819,-0.70005155,-1.110553,2.4349089,0
1781506333761,2096797,5.9517145,-3.5207326,8.564721,-0.7293731,-0.88697636,1.7336355,0
1781506333800,2093090,7.000749,-2.4932535,7.7695622,-0.86620694,-0.30298916,0.84421575,0
1781506333841,2090172,6.526528,-3.6045597,7.637834,-0.28221974,0.13805555,0.22968534,0
1781506333882,2088076,4.7086806,-4.385348,8.619807,-0.28221974,0.13805555,0.22968534,0
1781506333923,2086987,2.1411803,-5.5301847,11.675899,-0.012217305,-0.2321288,-0.014660766,0
1781506333960,2088477,3.6500657,-1.2717749,8.811412,-0.51923543,-0.15393804,-0.10140363,0
1781506334001,2092185,3.6309052,-2.9770548,8.658128,0.1160644,-0.08552113,-0.20647246,0
1781506334042,2093905,4.1218915,-2.3399699,8.51682,-0.24312437,-0.08307768,-0.06352998,0
1781506334081,2095253,3.9542377,-2.4908586,8.064155,-0.16249016,-0.05375614,-0.0061086523,0
1781506334121,2096493,3.9183118,-3.4345105,8.052179,-0.16371189,-0.080634214,0.095294975,0
1781506334161,2097926,3.966213,-3.4201403,8.09529,-0.172264,-0.06841691,0.052534413,0
1781506334201,2099620,4.052435,-3.3842144,8.152771,-0.09162979,0.0012217305,-0.021991149,0
1781506334243,2101818,3.9590278,-3.5303128,8.296474,0.037873644,0.07696902,-0.07086037,0
1781506334281,2103945,3.8488553,-3.242906,8.339585,0.037873644,0.07696902,-0.07086037,0
